r[m];rho[g.m^-3]
5824333.;3908.60
5837667.;3891.80
5851000.;3874.99
5864333.;3858.19
5877667.;3841.38
5891000.;3824.58
5904333.;3807.77
5917667.;3790.97
5931000.;3774.16
5944333.;3757.36
5957667.;3740.55
5971000.;3723.75
5971000.;3543.26
5984846.;3535.00
5998692.;3526.73
6012538.;3518.46
6026385.;3510.19
6040231.;3501.92
6054077.;3493.65
6067923.;3485.39
6081769.;3477.12
6095615.;3468.85
6109462.;3460.58
6123308.;3452.31
6137154.;3444.04
6151000.;3435.78
6151000.;3359.49
6165000.;3361.01
6179000.;3362.53
6193000.;3364.05
6207000.;3365.58
6221000.;3367.10
6235000.;3368.62
6249000.;3370.14
6263000.;3371.66
6277000.;3373.18
6291000.;3374.71
6291000.;3374.71
6309533.;3376.72
6328067.;3378.73
6346600.;3380.75
6346600.;2900.00
6356000.;2900.00
6356000.;2600.00
6368000.;2600.00
6368000.;1020.00
6371000.;1020.00
