r[m];rho[g.m^-3]
0.;13088.50
12858.;13088.46
25716.;13088.36
38574.;13088.18
51432.;13087.92
64289.;13087.60
77147.;13087.20
90005.;13086.74
102863.;13086.20
115721.;13085.58
128579.;13084.90
141437.;13084.14
154295.;13083.32
167153.;13082.42
180011.;13081.44
192868.;13080.40
205726.;13079.28
218584.;13078.10
231442.;13076.84
244300.;13075.50
257158.;13074.10
270016.;13072.62
282874.;13071.08
295732.;13069.46
308589.;13067.76
321447.;13066.00
334305.;13064.17
347163.;13062.26
360021.;13060.28
372879.;13058.23
385737.;13056.10
398595.;13053.91
411453.;13051.64
424311.;13049.30
437168.;13046.89
450026.;13044.40
462884.;13041.85
475742.;13039.22
488600.;13036.52
501458.;13033.75
514316.;13030.90
527174.;13027.99
540032.;13025.00
552889.;13021.94
565747.;13018.81
578605.;13015.60
591463.;13012.33
604321.;13008.98
617179.;13005.56
630037.;13002.07
642895.;12998.50
655753.;12994.87
668611.;12991.16
681468.;12987.38
694326.;12983.53
707184.;12979.60
720042.;12975.61
732900.;12971.54
745758.;12967.40
758616.;12963.19
771474.;12958.91
784332.;12954.55
797189.;12950.12
810047.;12945.62
822905.;12941.05
835763.;12936.41
848621.;12931.69
861479.;12926.90
874337.;12922.04
887195.;12917.11
900053.;12912.11
912911.;12907.03
925768.;12901.88
938626.;12896.66
951484.;12891.37
964342.;12886.01
977200.;12880.57
990058.;12875.07
1002916.;12869.49
1015774.;12863.83
1028632.;12858.11
1041489.;12852.31
1054347.;12846.45
1067205.;12840.51
1080063.;12834.50
1092921.;12828.41
1105779.;12822.26
1118637.;12816.03
1131495.;12809.73
1144353.;12803.36
1157211.;12796.91
1170068.;12790.40
1182926.;12783.81
1195784.;12777.15
1208642.;12770.42
1221500.;12763.61
1221500.;12166.33
1234332.;12159.72
1247165.;12153.05
1259997.;12146.32
1272830.;12139.54
1285662.;12132.70
1298494.;12125.80
1311327.;12118.85
1324159.;12111.84
1336991.;12104.78
1349824.;12097.65
1362656.;12090.47
1375489.;12083.23
1388321.;12075.93
1401153.;12068.57
1413986.;12061.15
1426818.;12053.67
1439651.;12046.14
1452483.;12038.54
1465315.;12030.88
1478148.;12023.16
1490980.;12015.38
1503812.;12007.54
1516645.;11999.64
1529477.;11991.68
1542310.;11983.66
1555142.;11975.57
1567974.;11967.42
1580807.;11959.21
1593639.;11950.94
1606472.;11942.60
1619304.;11934.20
1632136.;11925.73
1644969.;11917.20
1657801.;11908.61
1670634.;11899.95
1683466.;11891.23
1696298.;11882.44
1709131.;11873.59
1721963.;11864.67
1734795.;11855.68
1747628.;11846.63
1760460.;11837.52
1773293.;11828.33
1786125.;11819.08
1798957.;11809.76
1811790.;11800.38
1824622.;11790.92
1837455.;11781.40
1850287.;11771.81
1863119.;11762.15
1875952.;11752.42
1888784.;11742.63
1901616.;11732.76
1914449.;11722.82
1927281.;11712.82
1940114.;11702.74
1952946.;11692.59
1965778.;11682.38
1978611.;11672.09
1991443.;11661.73
2004276.;11651.29
2017108.;11640.79
2029940.;11630.21
2042773.;11619.57
2055605.;11608.85
2068437.;11598.05
2081270.;11587.18
2094102.;11576.24
2106935.;11565.23
2119767.;11554.14
2132599.;11542.98
2145432.;11531.74
2158264.;11520.43
2171097.;11509.04
2183929.;11497.58
2196761.;11486.04
2209594.;11474.42
2222426.;11462.73
2235259.;11450.97
2248091.;11439.12
2260923.;11427.20
2273756.;11415.20
2286588.;11403.13
2299420.;11390.97
2312253.;11378.74
2325085.;11366.43
2337918.;11354.04
2350750.;11341.57
2363582.;11329.03
2376415.;11316.40
2389247.;11303.69
2402080.;11290.91
2414912.;11278.04
2427744.;11265.09
2440577.;11252.06
2453409.;11238.95
2466241.;11225.76
2479074.;11212.49
2491906.;11199.14
2504739.;11185.70
2517571.;11172.18
2530403.;11158.58
2543236.;11144.90
2556068.;11131.13
2568901.;11117.28
2581733.;11103.34
2594565.;11089.32
2607398.;11075.22
2620230.;11061.03
2633063.;11046.76
2645895.;11032.40
2658727.;11017.96
2671560.;11003.43
2684392.;10988.81
2697224.;10974.11
2710057.;10959.32
2722889.;10944.45
2735722.;10929.48
2748554.;10914.43
2761386.;10899.30
2774219.;10884.07
2787051.;10868.76
2799884.;10853.36
2812716.;10837.87
2825548.;10822.29
2838381.;10806.62
2851213.;10790.86
2864045.;10775.01
2876878.;10759.08
2889710.;10743.05
2902543.;10726.93
2915375.;10710.72
2928207.;10694.42
2941040.;10678.03
2953872.;10661.54
2966705.;10644.97
2979537.;10628.30
2992369.;10611.54
3005202.;10594.69
3018034.;10577.74
3030866.;10560.70
3043699.;10543.57
3056531.;10526.34
3069364.;10509.02
3082196.;10491.61
3095028.;10474.10
3107861.;10456.49
3120693.;10438.79
3133526.;10421.00
3146358.;10403.10
3159190.;10385.12
3172023.;10367.03
3184855.;10348.85
3197688.;10330.58
3210520.;10312.20
3223352.;10293.73
3236185.;10275.16
3249017.;10256.50
3261849.;10237.73
3274682.;10218.87
3287514.;10199.90
3300347.;10180.84
3313179.;10161.68
3326011.;10142.42
3338844.;10123.06
3351676.;10103.60
3364509.;10084.04
3377341.;10064.38
3390173.;10044.62
3403006.;10024.76
3415838.;10004.79
3428670.;9984.73
3441503.;9964.56
3454335.;9944.29
3467168.;9923.91
3480000.;9903.44
3480000.;5566.46
3493636.;5559.62
3507273.;5552.79
3520909.;5545.96
3534545.;5539.14
3548182.;5532.32
3561818.;5525.51
3575455.;5518.70
3589091.;5511.89
3602727.;5505.08
3616364.;5498.28
3630000.;5491.48
3630000.;5491.48
3642792.;5485.10
3655584.;5478.72
3668377.;5472.35
3681169.;5465.98
3693961.;5459.61
3706753.;5453.24
3719545.;5446.87
3732338.;5440.50
3745130.;5434.14
3757922.;5427.77
3770714.;5421.41
3783506.;5415.04
3796299.;5408.68
3809091.;5402.32
3821883.;5395.95
3834675.;5389.59
3847468.;5383.23
3860260.;5376.86
3873052.;5370.50
3885844.;5364.13
3898636.;5357.76
3911429.;5351.40
3924221.;5345.03
3937013.;5338.66
3949805.;5332.29
3962597.;5325.91
3975390.;5319.54
3988182.;5313.16
4000974.;5306.78
4013766.;5300.40
4026558.;5294.02
4039351.;5287.63
4052143.;5281.24
4064935.;5274.85
4077727.;5268.46
4090519.;5262.06
4103312.;5255.66
4116104.;5249.25
4128896.;5242.85
4141688.;5236.43
4154481.;5230.02
4167273.;5223.60
4180065.;5217.18
4192857.;5210.75
4205649.;5204.32
4218442.;5197.88
4231234.;5191.44
4244026.;5184.99
4256818.;5178.54
4269610.;5172.08
4282403.;5165.62
4295195.;5159.15
4307987.;5152.68
4320779.;5146.20
4333571.;5139.71
4346364.;5133.22
4359156.;5126.72
4371948.;5120.22
4384740.;5113.71
4397532.;5107.19
4410325.;5100.67
4423117.;5094.14
4435909.;5087.60
4448701.;5081.05
4461494.;5074.50
4474286.;5067.94
4487078.;5061.37
4499870.;5054.79
4512662.;5048.21
4525455.;5041.61
4538247.;5035.01
4551039.;5028.40
4563831.;5021.79
4576623.;5015.16
4589416.;5008.52
4602208.;5001.88
4615000.;4995.22
4627792.;4988.56
4640584.;4981.89
4653377.;4975.20
4666169.;4968.51
4678961.;4961.81
4691753.;4955.09
4704545.;4948.37
4717338.;4941.64
4730130.;4934.89
4742922.;4928.14
4755714.;4921.37
4768506.;4914.59
4781299.;4907.80
4794091.;4901.00
4806883.;4894.19
4819675.;4887.37
4832468.;4880.54
4845260.;4873.69
4858052.;4866.83
4870844.;4859.96
4883636.;4853.08
4896429.;4846.18
4909221.;4839.27
4922013.;4832.35
4934805.;4825.42
4947597.;4818.47
4960390.;4811.51
4973182.;4804.53
4985974.;4797.55
4998766.;4790.54
5011558.;4783.53
5024351.;4776.50
5037143.;4769.45
5049935.;4762.40
5062727.;4755.32
5075519.;4748.24
5088312.;4741.13
5101104.;4734.02
5113896.;4726.89
5126688.;4719.74
5139481.;4712.58
5152273.;4705.40
5165065.;4698.20
5177857.;4690.99
5190649.;4683.77
5203442.;4676.53
5216234.;4669.27
5229026.;4661.99
5241818.;4654.70
5254610.;4647.39
5267403.;4640.07
5280195.;4632.73
5292987.;4625.37
5305779.;4617.99
5318571.;4610.60
5331364.;4603.19
5344156.;4595.76
5356948.;4588.31
5369740.;4580.84
5382532.;4573.36
5395325.;4565.86
5408117.;4558.34
5420909.;4550.80
5433701.;4543.24
5446494.;4535.66
5459286.;4528.07
5472078.;4520.45
5484870.;4512.82
5497662.;4505.16
5510455.;4497.49
5523247.;4489.79
5536039.;4482.08
5548831.;4474.35
5561623.;4466.59
5574416.;4458.82
5587208.;4451.02
5600000.;4443.20
5600000.;4443.20
5614429.;4434.36
5628857.;4425.49
5643286.;4416.60
5657714.;4407.68
5672143.;4398.73
5686571.;4389.75
5701000.;4380.74
5701000.;3992.12
5718500.;3988.05
5736000.;3983.97
5753500.;3979.90
5771000.;3975.82
5771000.;3975.82
5784333.;3959.02
5797667.;3942.21
5811000.;3925.41
