    # Ang. Scale (k)        Transmission         Uncertainty
    0.0000              0.0000              0.0000          
    0.0019              0.1037              0.1053          
    0.0038              0.2753              0.1053          
    0.0076              0.7519              0.1264          
    0.0115              0.8583              0.1484          
    0.0153              0.8902              0.1177          
    0.0203              0.9107              0.1295          
    0.0244              0.9272              0.1482          
    0.0285              0.9352              0.0868          
    0.0325              0.9315              0.0629          
    0.0370              0.9306              0.0473          
    0.0413              0.9398              0.0378          
    0.0455              0.9424              0.0344          
    0.0496              0.9415              0.0293          
    0.0540              0.9356              0.0279          
    0.0579              0.9325              0.0225          
    0.0630              0.9350              0.0197          
    0.0680              0.9377              0.0198          
    0.0714              0.9397              0.0181          
    0.0763              0.9336              0.0196          
    0.0812              0.9477              0.0178          
    0.0854              0.9506              0.0164          
    0.0894              0.9537              0.0148          
    0.0940              0.9563              0.0157          
    0.0983              0.9580              0.0197          
    0.1024              0.9607              0.0186          
    0.1069              0.9595              0.0189          
    0.1111              0.9561              0.0187          
    0.1151              0.9496              0.0179          
    0.1189              0.9467              0.0214          
    0.1240              0.9471              0.0206          
    0.1295              0.9524              0.0197          
    0.1331              0.9511              0.0241          
    0.1370              0.9494              0.0193          
    0.1412              0.9488              0.0198          
    0.1457              0.9469              0.0206          
    0.1497              0.9552              0.0214          
    0.1545              0.9609              0.0233          
    0.1593              0.9601              0.0220          
    0.1637              0.9622              0.0227          
    0.1679              0.9614              0.0250          
    0.1726              0.9600              0.0222          
    0.1769              0.9541              0.0239          
    0.1811              0.9463              0.0240          
    0.1853              0.9450              0.0269          
    0.1903              0.9476              0.0289          
    0.1942              0.9535              0.0285          
    0.1983              0.9576              0.0296          
    0.2028              0.9542              0.0257          
    0.2073              0.9538              0.0291          
    0.2111              0.9550              0.0297          
    0.2158              0.9537              0.0303          
    0.2203              0.9561              0.0308          
    0.2244              0.9592              0.0329          
    0.2290              0.9586              0.0302          
    0.2333              0.9574              0.0320          
    0.2374              0.9566              0.0321          
    0.2413              0.9523              0.0317          
    0.2479              0.9481              0.0322          
