    # Ang. Scale (k)        Transmission         Uncertainty
    0.0000              0.0000              0.0000          
    0.0009              0.2537              0.1053          
    0.0019              0.4537              0.1053          
    0.0038              0.7053              0.1053          
    0.0076              0.8819              0.1264          
    0.0115              0.9083              0.1484          
    0.0153              0.9152              0.1177          
    0.0203              0.9202              0.1295          
    0.0244              0.9339              0.1482          
    0.0285              0.9401              0.0868          
    0.0325              0.9420              0.0629          
    0.0370              0.9434              0.0473          
    0.0413              0.9461              0.0378          
    0.0455              0.9501              0.0344          
    0.0496              0.9515              0.0293          
    0.0540              0.9473              0.0201          
    0.0579              0.9533              0.0129          
    0.0630              0.9411              0.0128          
    0.0680              0.9297              0.0168          
    0.0714              0.9291              0.0116          
    0.0763              0.9465              0.0069          
    0.0812              0.9594              0.0055          
    0.0854              0.9607              0.0056          
    0.0894              0.9633              0.0046          
    0.0940              0.9636              0.0044          
    0.0983              0.9635              0.0049          
    0.1024              0.9634              0.0057          
    0.1069              0.9633              0.0044          
    0.1111              0.9614              0.0036          
    0.1151              0.9571              0.0039          
    0.1189              0.9523              0.0053          
    0.1240              0.9530              0.0050          
    0.1295              0.9556              0.0034          
    0.1331              0.9573              0.0029          
    0.1370              0.9514              0.0040          
    0.1412              0.9508              0.0029          
    0.1457              0.9564              0.0041          
    0.1497              0.9605              0.0027          
    0.1545              0.9625              0.0031          
    0.1593              0.9628              0.0027          
    0.1637              0.9609              0.0027          
    0.1679              0.9621              0.0020          
    0.1726              0.9604              0.0013          
    0.1769              0.9567              0.0022          
    0.1811              0.9476              0.0033          
    0.1853              0.9474              0.0037          
    0.1903              0.9479              0.0035          
    0.1942              0.9549              0.0025          
    0.1983              0.9588              0.0026          
    0.2028              0.9571              0.0020          
    0.2073              0.9533              0.0031          
    0.2111              0.9545              0.0028          
    0.2158              0.9570              0.0027          
    0.2203              0.9609              0.0023          
    0.2244              0.9593              0.0024          
    0.2290              0.9598              0.0020          
    0.2333              0.9578              0.0034          
    0.2374              0.9561              0.0023          
    0.2413              0.9538              0.0035          
    0.2479              0.9503              0.0033          
