    # Ang. Scale (k)        Transmission         Uncertainty
    0.0000              0.0000              0.0000          
    0.0019              0.2537              0.1053          
    0.0038              0.5053              0.1053          
    0.0076              0.7519              0.1264          
    0.0115              0.8883              0.1484          
    0.0153              0.9002              0.1177          
    0.0203              0.9172              0.1295          
    0.0244              0.9239              0.1482          
    0.0285              0.9401              0.0868          
    0.0325              0.9420              0.0629          
    0.0370              0.9434              0.0473          
    0.0413              0.9461              0.0378          
    0.0455              0.9501              0.0344          
    0.0496              0.9515              0.0293          
    0.0540              0.9563              0.0105          
    0.0579              0.9524              0.0103          
    0.0630              0.9444              0.0134          
    0.0680              0.9300              0.0126          
    0.0714              0.9326              0.0109          
    0.0763              0.9482              0.0154          
    0.0812              0.9585              0.0107          
    0.0854              0.9661              0.0090          
    0.0894              0.9656              0.0104          
    0.0940              0.9670              0.0074          
    0.0983              0.9666              0.0086          
    0.1024              0.9721              0.0080          
    0.1069              0.9668              0.0073          
    0.1111              0.9629              0.0084          
    0.1151              0.9544              0.0068          
    0.1189              0.9521              0.0072          
    0.1240              0.9471              0.0078          
    0.1295              0.9528              0.0095          
    0.1331              0.9566              0.0083          
    0.1370              0.9478              0.0090          
    0.1412              0.9480              0.0072          
    0.1457              0.9507              0.0081          
    0.1497              0.9572              0.0080          
    0.1545              0.9592              0.0083          
    0.1593              0.9586              0.0090          
    0.1637              0.9609              0.0079          
    0.1679              0.9576              0.0085          
    0.1726              0.9561              0.0082          
    0.1769              0.9519              0.0083          
    0.1811              0.9406              0.0080          
    0.1853              0.9427              0.0087          
    0.1903              0.9297              0.0084          
    0.1942              0.9503              0.0087          
    0.1983              0.9513              0.0098          
    0.2028              0.9530              0.0093          
    0.2073              0.9509              0.0096          
    0.2111              0.9506              0.0074          
    0.2158              0.9496              0.0087          
    0.2203              0.9532              0.0088          
    0.2244              0.9583              0.0082          
    0.2290              0.9584              0.0073          
    0.2333              0.9572              0.0082          
    0.2374              0.9511              0.0072          
    0.2413              0.9483              0.0071          
    0.2479              0.9421              0.0074          
