h[km];rho[kg.m^-3]
0;1.225
1;1.11164
2;1.00649
3;9.09122E-1
4;8.19129E-1
5;7.36116E-1
6;6.59697E-1
7;5.89501E-1
8;5.25168E-1
9;4.66348E-1
10;4.12707E-1
12;3.10828E-1
15;1.93674E-1
20;8.80349E-2
25;3.94658E-2
30;1.80119E-2
35;8.21392E-3
40;3.85101E-3
45;1.88129E-3
50;9.77525E-4
60;2.88321E-4
70;7.42430E-5
80;1.57005E-5
84.852;6.95788E-6
100;5.25E-7
150;1.73E-9
200;2.41E-10
250;5.97E-11
300;1.87E-11
350;6.66E-12
400;2.62E-12
450;1.09E-12
500;4.76E-13
550;2.14E-13
600;9.89E-14
650;4.73E-14
700;2.36E-14
750;1.24E-14
800;6.95E-15
850;4.22E-15
900;2.78E-15
950;1.98E-15
1000;1.49E-15
1250;5.70E-16
1500;2.79E-16
2000;9.09E-17
2500;4.23E-17
3000;2.54E-17
3500;1.77E-17
4000;1.34E-17
4500;1.06E-17
5000;8.62E-18
6000;6.09E-18
7000;4.56E-18
8000;3.56E-18
9000;2.87E-18
10000;2.37E-18
15000;1.21E-18
20000;7.92E-19
25000;5.95E-19
30000;4.83E-19
35000;4.13E-19
35786;4.04E-19
