    # Ang. Scale (k)        Transmission         Uncertainty
    0.0000              0.0000              0.0000          
    0.0009              0.1537              0.1053          
    0.0019              0.3537              0.1053          
    0.0038              0.6053              0.1053          
    0.0076              0.7919              0.1264          
    0.0115              0.8983              0.1484          
    0.0153              0.9052              0.1177          
    0.0203              0.9202              0.1295          
    0.0244              0.9239              0.1482          
    0.0285              0.9401              0.0868          
    0.0325              0.9420              0.0629          
    0.0370              0.9434              0.0473          
    0.0413              0.9461              0.0378          
    0.0455              0.9501              0.0344          
    0.0496              0.9515              0.0293          
    0.0540              0.9432              0.0164          
    0.0579              0.9410              0.0136          
    0.0630              0.9321              0.0116          
    0.0680              0.9331              0.0118          
    0.0714              0.9315              0.0117          
    0.0763              0.9410              0.0088          
    0.0812              0.9544              0.0088          
    0.0854              0.9597              0.0080          
    0.0894              0.9601              0.0072          
    0.0940              0.9606              0.0073          
    0.0983              0.9615              0.0062          
    0.1024              0.9580              0.0061          
    0.1069              0.9587              0.0062          
    0.1111              0.9574              0.0055          
    0.1151              0.9507              0.0057          
    0.1189              0.9484              0.0067          
    0.1240              0.9468              0.0066          
    0.1295              0.9513              0.0061          
    0.1331              0.9503              0.0064          
    0.1370              0.9501              0.0062          
    0.1412              0.9492              0.0069          
    0.1457              0.9540              0.0066          
    0.1497              0.9550              0.0066          
    0.1545              0.9588              0.0066          
    0.1593              0.9589              0.0066          
    0.1637              0.9588              0.0071          
    0.1679              0.9581              0.0070          
    0.1726              0.9576              0.0069          
    0.1769              0.9544              0.0071          
    0.1811              0.9438              0.0078          
    0.1853              0.9428              0.0073          
    0.1903              0.9465              0.0071          
    0.1942              0.9514              0.0084          
    0.1983              0.9545              0.0081          
    0.2028              0.9522              0.0082          
    0.2073              0.9501              0.0081          
    0.2111              0.9527              0.0086          
    0.2158              0.9533              0.0086          
    0.2203              0.9543              0.0092          
    0.2244              0.9561              0.0090          
    0.2290              0.9564              0.0091          
    0.2333              0.9573              0.0093          
    0.2374              0.9518              0.0092          
    0.2413              0.9455              0.0096          
    0.2479              0.9456              0.0100          
