    # Ang. Scale (k)        Transmission         Uncertainty
    0.0000              0.0000              0.0000          
    0.0076              0.3099              0.0895          
    0.0115              0.5315              0.0975          
    0.0153              0.7043              0.0741          
    0.0203              0.7210              0.0857          
    0.0244              0.7457              0.0739          
    0.0285              0.8137              0.0670          
    0.0325              0.8745              0.0499          
    0.0370              0.8767              0.0385          
    0.0413              0.9049              0.0346          
    0.0455              0.9120              0.0277          
    0.0496              0.9272              0.0238          
    0.0540              0.9279              0.0210          
    0.0579              0.9287              0.0177          
    0.0630              0.9224              0.0151          
    0.0680              0.9181              0.0150          
    0.0714              0.9126              0.0137          
    0.0763              0.9302              0.0105          
    0.0812              0.9439              0.0083          
    0.0854              0.9487              0.0081          
    0.0894              0.9495              0.0073          
    0.0940              0.9529              0.0067          
    0.0983              0.9544              0.0067          
    0.1024              0.9541              0.0061          
    0.1069              0.9535              0.0057          
    0.1111              0.9523              0.0058          
    0.1151              0.9467              0.0056          
    0.1189              0.9433              0.0061          
    0.1240              0.9446              0.0058          
    0.1295              0.9502              0.0058          
    0.1331              0.9496              0.0056          
    0.1370              0.9440              0.0057          
    0.1412              0.9481              0.0059          
    0.1457              0.9484              0.0061          
    0.1497              0.9558              0.0063          
    0.1545              0.9576              0.0065          
    0.1593              0.9578              0.0066          
    0.1637              0.9583              0.0068          
    0.1679              0.9576              0.0070          
    0.1726              0.9573              0.0074          
    0.1769              0.9523              0.0073          
    0.1811              0.9461              0.0077          
    0.1853              0.9438              0.0084          
    0.1903              0.9449              0.0083          
    0.1942              0.9514              0.0081          
    0.1983              0.9542              0.0086          
    0.2028              0.9528              0.0082          
    0.2073              0.9498              0.0082          
    0.2111              0.9526              0.0085          
    0.2158              0.9521              0.0083          
    0.2203              0.9559              0.0088          
    0.2244              0.9553              0.0093          
    0.2290              0.9523              0.0095          
    0.2333              0.9553              0.0101          
    0.2374              0.9515              0.0103          
    0.2413              0.9500              0.0108          
    0.2479              0.9459              0.0108          
