    # Ang. Scale (k)        Transmission         Uncertainty
    0.0000              0.0000              0.0000          
    0.0019              0.0537              0.1053          
    0.0038              0.3153              0.1053          
    0.0076              0.7819              0.1264          
    0.0115              0.8583              0.1484          
    0.0153              0.8972              0.1177          
    0.0203              0.9102              0.1295          
    0.0244              0.9179              0.1482          
    0.0285              0.9322              0.0868          
    0.0325              0.9335              0.0629          
    0.0370              0.9366              0.0473          
    0.0413              0.9398              0.0378          
    0.0455              0.9424              0.0344          
    0.0496              0.9415              0.0293          
    0.0540              0.9401              0.0271          
    0.0579              0.9460              0.0183          
    0.0630              0.9508              0.0196          
    0.0680              0.9549              0.0156          
    0.0714              0.9566              0.0142          
    0.0763              0.9511              0.0117          
    0.0812              0.9517              0.0086          
    0.0854              0.9526              0.0099          
    0.0894              0.9596              0.0093          
    0.0940              0.9596              0.0086          
    0.0983              0.9586              0.0072          
    0.1024              0.9590              0.0072          
    0.1069              0.9590              0.0073          
    0.1111              0.9580              0.0058          
    0.1151              0.9537              0.0086          
    0.1189              0.9498              0.0077          
    0.1240              0.9496              0.0067          
    0.1295              0.9549              0.0071          
    0.1331              0.9545              0.0053          
    0.1370              0.9507              0.0063          
    0.1412              0.9519              0.0057          
    0.1457              0.9544              0.0062          
    0.1497              0.9600              0.0062          
    0.1545              0.9588              0.0063          
    0.1593              0.9595              0.0067          
    0.1637              0.9610              0.0062          
    0.1679              0.9603              0.0065          
    0.1726              0.9601              0.0070          
    0.1769              0.9563              0.0067          
    0.1811              0.9496              0.0077          
    0.1853              0.9482              0.0079          
    0.1903              0.9513              0.0082          
    0.1942              0.9546              0.0081          
    0.1983              0.9574              0.0089          
    0.2028              0.9557              0.0087          
    0.2073              0.9528              0.0085          
    0.2111              0.9486              0.0090          
    0.2158              0.9559              0.0093          
    0.2203              0.9576              0.0085          
    0.2244              0.9571              0.0090          
    0.2290              0.9580              0.0088          
    0.2333              0.9568              0.0090          
    0.2374              0.9516              0.0094          
    0.2413              0.9521              0.0095          
    0.2479              0.9485              0.0101          
